タイトル,アーティスト名,ボーカル,最低,最高,備考
恋スルVOC@LOID,OSTER project,初音ミク,mid2C#,hihiC#,UGAにも入曲済。
恋空予報,電ポルP,GUMI,mid2C,hiD#,
恋は戦争,supercell,初音ミク,mid2A,hiD,サビでhiD連発
高音厨音域テスト,木村わいP,初音ミク,mid2A,hihihiE,10周年アカペラVer.は最高音hihihihiA
高音厨音域テスト(喉に優しい Ver.),木村わいP,初音ミク,mid2B,hiC,
幸福な死を,きくお,初音ミク,mid2C#,hihiC,
ゴーストルール,DECO*27,初音ミク,mid2A,hiF#,
コールボーイ,syudou,初音ミク,mid2D#,hiG#,
ココロ,トラボルタ,鏡音リン,mid2B,hiG,サビの最高音はhiC（かそ【く】する奇跡）
心倣し,蝶々P,GUMI,mid2A,hihiA,
古書屋敷殺人事件,てにをは,初音ミク,mid2A,hiD,
こちら、幸福安心委員会です。,うたたP,初音ミク,,,
孤独の宗教,syudou,初音ミク,hiB,hihiD,
Connecting,halyosy,初音ミク,mid2D,hiG,
Connecting,halyosy,巡音ルカ,mid2A,hiF#
Connecting,halyosy,KAITO,mid1A#,mid2F#
Connecting,halyosy,鏡音レン,mid2A#,hiF#
Connecting,halyosy,鏡音リン,mid2D#,hiG
Connecting,halyosy,MEIKO,mid2A#,hiF#
コノハの世界事情,じん(自然の敵P),初音ミク,mid2D,hihiD,
コノハの世界事情,じん(自然の敵P),IA,mid2D,hihiD
昏迷の味,savasti,flower,mid2C#,hiD#,
