タイトル,アーティスト名,ボーカル,最低,最高,備考
アニマル,DECO*27,初音ミク,mid1F#,hiG,
あの夏が飽和する。,カンザキイオリ,鏡音リン,mid1G,hiG#,
あの夏が飽和する。,カンザキイオリ,鏡音レン,mid1G,hiG#,
甘噛みでおねがい,ピノキオピー,初音ミク,mid2A,hiE,
天ノ弱,164,GUMI,mid2A,hiG#,hiG#はラスサビで2回。ラスサビで転調キー+1、それまでの最高音はhiG。サビはhi域のみで構成される。
雨とペトラ,バルーン,flower,mid2F,hihiA#,
アヤノの幸福理論,じん(自然の敵P),IA,mid1E,hiE,
ARiA,とくP,IA,,hiE,
Alice in N.Y.,ひとしずくP×やま△,鏡音レン,mid1F,hiF#,
Alice in N.Y.,ひとしずくP×やま△,鏡音リン,mid1F,hiF#
Alice in N.Y.,ひとしずくP×やま△,初音ミク,mid1F,hihiC#
Alice in N.Y.,ひとしずくP×やま△,GUMI,mid2D#,hiF
Alice in N.Y.,ひとしずくP×やま△,KAITO,lowG#,mid2A#
Alice in N.Y.,ひとしずくP×やま△,神威がくぽ,lowG#,mid2C
Alice in N.Y.,ひとしずくP×やま△,MEIKO,mid2D#,hiA#
Alice in N.Y.,ひとしずくP×やま△,巡音ルカ,mid2D#,hiF
Alice in N.Y.,ひとしずくP×やま△,MAYU,mid2D#,hiF
Alice in N.Y.,ひとしずくP×やま△,IA,mid2D#,hiF
Alice in Musicland,OSTERproject,初音ミク,mid2A,hiF#,
Alice in Musicland,OSTERproject,鏡音リン,mid2C#,hiE
Alice in Musicland,OSTERproject,鏡音レン,mid1F#,hiC
Alice in Musicland,OSTERproject,巡音ルカ,mid2A,hiE
Alice in Musicland,OSTERproject,KAITO,mid1A#,mid2F#
Alice in Musicland,OSTERproject,MEIKO,mid2A,hiF#
Alice in 冷凍庫,Orangestar,IA,mid2F,hihiD,
あわよくばきみの眷属になりたいな,Peg,鏡音リン,mid2C,hiE,
アングレイデイズ,ツミキ,鏡音リン,mid2F#,hihiC#,
アンチグラビティーズ,Sasakure.UK,GUMI,mid1F,hiF,
ANTI THE∞HOLiC,cosMo@暴走P,巡音ルカ,mid1E,hihiF#,
ANTI THE∞HOLiC,cosMo@暴走P,鏡音リン,mid2E,hihiF#
アンチジョーカー,マイキ,初音ミク,mid2C#,hihiE,
アンドロイドガール,DECO*27,初音ミク,mid1E,hiF#,
アンドロメダアンドロメダ,ナユタン星人,初音ミク,mid2B,hiF#,
アンノウン・マザーグース,wowaka,初音ミク,mid1F#,hihiC#,
アンハッピーバースデイ,かいりきベア,初音ミク,mid2D,hihiA#,
アンハッピーリフレイン,wowaka,初音ミク,mid2E,hihiC,サビでのhihiCに次いで、hihiAがBメロ、hiGがサビで出現。
いーあるふぁんくらぶ,みきとP,GUMI,mid1G,hiD,
いーあるふぁんくらぶ,みきとP,鏡音リン,mid2D,hiA#
い～やい～やい～や,Neru&z'5,鏡音リン,mid1C,hiC,
い～やい～やい～や,Neru&z'5,鏡音レン,mid1C,hiC
イガク,原口沙輔,重音テト,mid2D#,hiD#,
イカサマ⇔カジノ,ひとしずくP×やま△,鏡音リン,mid1F,hiE,
イカサマ⇔カジノ,ひとしずくP×やま△,鏡音レン,mid1F,hiC
イカサマライフゲイム,kemu,GUMI,mid1F,hiF,Cメロ終わりにhihiAのシャウト出現
いかないで,想太,歌愛ユキ,mid2A#,hiC,
異星にいこうね,いよわ,星界,mid1D,hiD,
一騎当千,梅とら,巡音ルカ,mid1G,hiD,
一騎当千,梅とら,初音ミク,mid1G,hiD
一騎当千,梅とら,GUMI,mid1G,hiD
一騎当千,梅とら,IA,mid1G,hiD
一騎当千,梅とら,鏡音リン,mid1G,hiD
イドラのサーカス,Neru,鏡音リン,mid2C#,hiG#,
命に嫌われている。,カンザキイオリ,初音ミク,mid1G,hiG,
命のユースティティア,Neru,鏡音レン,mid1G#,hiG#,
祈りは空っぽ,Lanndo / ぬゆり,flower,mid1F#,hiF,セルフカバーはオク下±0
威風堂々,梅とら,巡音ルカ,mid1F,hiC,ラップ部分は調査対象外
威風堂々,梅とら,初音ミク,mid2C#,hiD
威風堂々,梅とら,GUMI,mid2F,hiD
威風堂々,梅とら,IA,mid1F,hiC
威風堂々,梅とら,鏡音リン,mid2F,hiC
今好きになる。,HoneyWorks,初音ミク,mid2B,hiE,
IMITATION BLACK,natsuP,神威がくぽ,mid1B,mid2G,
IMITATION BLACK,natsuP,KAITO,mid1A,mid2F#
IMITATION BLACK,natsuP,鏡音レン,mid2F#,hiE
いろは唄,銀サク,鏡音リン,mid2C#,hiF#,
インタビュア,クワガタP,巡音ルカ,mid1F,hiE,
インビジブル,kemu,GUMI,mid2A#,hihiB,hihiBはラストの「今僕はこ【こ】に」のみ。それ以外の最高音はラスサビのhihiA。ラスサビ転調でキー+1。通常サビはhiG#まで。
インビジブル,kemu,鏡音リン,mid2A#,hihiB
ヴァンパイア,DECO*27,初音ミク,mid2B,hiG#,
ヴィラン,てにをは,flower,mid2A,hiE,
WAVE,niki,Lily,mid2A,hiE,
嘘歌,あわあわp,初音ミク,hiA,hiG,全体にわたってhiF#以上が連発。Bメロ「誰かのお【と】が」「気持【ち】いいよ」が最高音
歌い手様総合テスト,木村わいP,初音ミク,lowlowE,hihihiE,使用音域は驚異の6オクターブ。
歌に形はないけれど,doriko,初音ミク,mid2B,hiF#,ラスサビで転調(+2)。転調前はhiEまで
ウミユリ海底譚,n-buna,初音ミク,mid1F,hihiB,
ウルフィズム,ふぁるすてぃ,flower,mid2A,hiF,
裏表ラバーズ,wowaka,初音ミク,mid2E,hihiB,
え？あぁ、そう。,蝶々P,初音ミク,mid2A#,hiG,
エイリアンエイリアン,ナユタン星人,初音ミク,mid2D,hihiC,
エネの電脳紀行,じん(自然の敵P),IA,mid2B,hihiE,
エバ,柊キライ,flower,mid2C,hihiB,
えれくとりっく・えんじぇぅ,ヤスオP,初音ミク,mid1G#,hiE,
エンヴィキャットウォーク,トーマ,初音ミク,mid2B,hihiA#,
エンヴィーベイビー,Kanaria,GUMI,mid2C#,hiF#,
延命治療,Neru,IA,mid1D,hiG,アルバムVerでは歌唱が鏡音リン・レンとなっている。
おおかみは赤ずきんに恋をした,ひとしずくP×やま△,鏡音レン,mid1C#,hiA,
おおかみは赤ずきんに恋をした,ひとしずくP×やま△,鏡音レン,mid2A,hiE
オートファジー,柊キライ,flower,mid2A#,hihiA,
オーバーライド,吉田夜世,重音テト,mid1G#,hiC#,
おじゃま虫,DECO*27,初音ミク,mid2B,hiC#,
オツキミリサイタル,じん(自然の敵P),IA,mid2B,hiG#,
乙女解剖,DECO*27,初音ミク,mid2B,hihiC#,
おどりゃんせ,ユリイ・カノン,初音ミク,mid2C#,hihiA#,
おどりゃんせ,ユリイ・カノン,GUMI,mid2C#,hihiA#
おねがいダーリン,ナナホシ管弦楽団,ONE,mid1G#,hiF#,
オレンジ,トーマ,初音ミク,mid1D,hihiB,
