0,1,2,3,4,5
イガク,原口沙輔,重音テト,mid2D#,hiD#,
イカサマ⇔カジノ,ひとしずくP×やま△,鏡音リン,mid1F,hiE,
イカサマ⇔カジノ,ひとしずくP×やま△,鏡音レン,mid1F,hiC,
イカサマライフゲイム,kemu,GUMI,mid1F,hiF,Cメロ終わりにhihiAのシャウト出現
いかないで,想太,歌愛ユキ,mid2A#,hiC,
異星にいこうね,いよわ,星界,mid1D,hiD,
一騎当千,梅とら,巡音ルカ,mid1G,hiD,
一騎当千,梅とら,初音ミク,mid1G,hiD,
一騎当千,梅とら,GUMI,mid1G,hiD,
一騎当千,梅とら,IA,mid1G,hiD,
一騎当千,梅とら,鏡音リン,mid1G,hiD,
イドラのサーカス,Neru,鏡音リン,mid2C#,hiG#,
命に嫌われている。,カンザキイオリ,初音ミク,mid1G,hiG,
命のユースティティア,Neru,鏡音レン,mid1G#,hiG#,
祈りは空っぽ,Lanndo / ぬゆり,flower,mid1F#,hiF,セルフカバーはオク下±0
威風堂々,梅とら,巡音ルカ,mid1F,hiC,ラップ部分は調査対象外
威風堂々,梅とら,初音ミク,mid2C#,hiD,
威風堂々,梅とら,GUMI,mid2F,hiD,
威風堂々,梅とら,IA,mid1F,hiC,
威風堂々,梅とら,鏡音リン,mid2F,hiC,
今好きになる。,HoneyWorks,初音ミク,mid2B,hiE,
IMITATION BLACK,natsuP,神威がくぽ,mid1B,mid2G,
IMITATION BLACK,natsuP,KAITO,mid1A,mid2F#,
IMITATION BLACK,natsuP,鏡音レン,mid2F#,hiE,
いろは唄,銀サク,鏡音リン,mid2C#,hiF#,
インタビュア,クワガタP,巡音ルカ,mid1F,hiE,
インビジブル,kemu,GUMI,mid2A#,hihiB,hihiBはラストの「今僕はこ【こ】に」のみ。それ以外の最高音はラスサビのhihiA。ラスサビ転調でキー+1。通常サビはhiG#まで。
インビジブル,kemu,鏡音リン,mid2A#,hihiB,
ヴァンパイア,DECO*27,初音ミク,mid2B,hiG#,
ヴィラン,てにをは,flower,mid2A,hiE,
WAVE,niki,Lily,mid2A,hiE,
嘘歌,あわあわp,初音ミク,hiA,hiG,全体にわたってhiF#以上が連発。Bメロ「誰かのお【と】が」「気持【ち】いいよ」が最高音
歌い手様総合テスト,木村わいP,初音ミク,lowlowE,hihihiE,使用音域は驚異の6オクターブ。
歌に形はないけれど,doriko,初音ミク,mid2B,hiF#,ラスサビで転調(+2)。転調前はhiEまで
ウミユリ海底譚,n-buna,初音ミク,mid1F,hihiB,
ウルフィズム,ふぁるすてぃ,flower,mid2A,hiF,
裏表ラバーズ,wowaka,初音ミク,mid2E,hihiB,
え？あぁ、そう。,蝶々P,初音ミク,mid2A#,hiG,
エイリアンエイリアン,ナユタン星人,初音ミク,mid2D,hihiC,
エネの電脳紀行,じん(自然の敵P),IA,mid2B,hihiE,
エバ,柊キライ,flower,mid2C,hihiB,
えれくとりっく・えんじぇぅ,ヤスオP,初音ミク,mid1G#,hiE,
エンヴィキャットウォーク,トーマ,初音ミク,mid2B,hihiA#,
エンヴィーベイビー,Kanaria,GUMI,mid2C#,hiF#,
延命治療,Neru,IA,mid1D,hiG,アルバムVerでは歌唱が鏡音リン・レンとなっている。
おおかみは赤ずきんに恋をした,ひとしずくP×やま△,鏡音レン,mid1C#,hiA,
おおかみは赤ずきんに恋をした,ひとしずくP×やま△,鏡音レン,mid2A,hiE,
オートファジー,柊キライ,flower,mid2A#,hihiA,
オーバーライド,吉田夜世,重音テト,mid1G#,hiC#,
おじゃま虫,DECO*27,初音ミク,mid2B,hiC#,
オツキミリサイタル,じん(自然の敵P),IA,mid2B,hiG#,
乙女解剖,DECO*27,初音ミク,mid2B,hihiC#,
おどりゃんせ,ユリイ・カノン,初音ミク,mid2C#,hihiA#,
おどりゃんせ,ユリイ・カノン,GUMI,mid2C#,hihiA#,
おねがいダーリン,ナナホシ管弦楽団,ONE,mid1G#,hiF#,
オレンジ,トーマ,初音ミク,mid1D,hihiB,
タイトル,アーティスト名,ボーカル,最低,最高,備考
ワールズエンド・ダンスホール,wowaka,初音ミク,mid2C#,hihiC,サビの大半がhiF。
ワールドイズマイン,supercell,初音ミク,mid2A#,hiD#,フェイクでhihiFあり
ワールド・ランプシェード,buzzG,GUMI,mid1G#,hiE,
タイトル,アーティスト名,ボーカル,最低,最高,備考
ガ,鬱P,初音ミク,mid1F,hiC#,
快晴,Orangestar,IA,mid1G#,hihiA#,
革命,Dios(シグナルP),初音ミク,hiA,hihiA,最高音最低音ともに頻出
カゲロウデイズ,じん(自然の敵P),初音ミク,mid2B,hihiC,hihiCはラスサビ1回のみ。
かなしみのなみにおぼれる,Neru,鏡音レン,mid1D,hiG,
可不ちゃんのカレーうどん狂騒曲,南ノ南,可不,mid2C,hiG(hihiE),ずんだもんパートはセリフのみなので音域は存在しない
可不ちゃんのカレーうどん狂騒曲,南ノ南,ずんだもん,-,-,
可不ちゃんのカレーうどん狂騒曲,南ノ南,東北きりたん,mid2D,hiG,
可不ちゃんのカレーうどん狂騒曲,南ノ南,東北ずん子,mid2F#,-,
カプリスキャスト,ユギカ,鳴花ミコト,lowG#,hihiB,
神様からのアンケート,れるりり,初音ミク,mid2A#,hiC,
神様からのアンケート,れるりり,鏡音リン,mid2A#,hiC,
カミサマネジマキ,kemu,GUMI,mid1F#,hiF,
神っぽいな,ピノキオピー,初音ミク,mid2F,hiF,
神のまにまに,れるりり,初音ミク,mid2D#,hiD#,
神のまにまに,れるりり,鏡音リン,mid1G#,hiD#,
神のまにまに,れるりり,GUMI,mid1G#,hiD#,
カムパネルラ,sasakure.UK,GUMI,mid2A#,hiE,
カメレオン,すりぃ,鏡音レン,mid2F,hihiA#,
からくりピエロ,40mP,初音ミク,,,
からくり卍ばーすと,ひとしずくP×やま△,鏡音リン,mid2C,hiF,
からくり卍ばーすと,ひとしずくP×やま△,鏡音レン,mid2C,hiF,
からくりピエロ,40mP,初音ミク,mid2C,hiD,
カンタレラ,黒うさP,KAITO,mid1A#,hiA#,
giga戯画witch,黒澤まどか,鏡音リン,mid2B,hiE,
ギガンティックO.T.N,ギガ,鏡音レン,mid1G#,hiD,
如月アテンション,じん(自然の敵P),IA,mid2A#,hihiA#,
疑心暗鬼,梅とら,巡音ルカ,mid2A,hiD,
疑心暗鬼,梅とら,初音ミク,mid2A,hiC,
疑心暗鬼,梅とら,GUMI,mid2A,hiC,
疑心暗鬼,梅とら,IA,mid2A,hiC,
疑心暗鬼,梅とら,鏡音リン,mid2A,hiC,
Gimme×Gimme,八王子P×ギガ,初音ミク,-,-,ミクはパートは基本ラップで音域は未計測。
Gimme×Gimme,八王子P×ギガ,鏡音リン,mid1G#,hiG(hiG#),
君色に染まる,TOKOTOKO（西沢さんP）,GUMI,mid1G,hiD,
きみも悪い人でよかった,キノピオピー,初音ミク,mid2B,hiG,
キメラ,DECO*27,初音ミク,mid2C#,hihiA,
キャットラビング,香椎モイミ,可不,mid1F#,hiD,
キャラバン,syudou,初音ミク,mid2F,hihiA#,
Q,椎名もた,鏡音リン,mid2A,hihiA,
きゅうくらりん,いよわ,可不,mid2B,hiF,
キュートなカノジョ,syudou,可不,mid2E,hihiC#,
キューピット,Kai,初音ミク,mid2A#,hihiB,
強風オールバック,ゆこぴ,歌愛ユキ,mid1G,hiB,
KILLER B,梅とら,初音ミク,mid2C,hiC,
KILLER B,梅とら,鏡音リン,mid2C,hiC,
KILLER B,梅とら,巡音ルカ,mid2C,hiC,
KILLER B,梅とら,GUMI,mid2C,hiC,
KILLER B,梅とら,IA,mid2C,hiC,
KING,Kanaria,GUMI,mid1G,hiG,
金星のダンス,ナユタン星人,初音ミク,mid2E,hihiB,
金曜日のおはよう,HoneyWorks,GUMI,mid2A#,hiC,
QUEEN,Kanaria,GUMI,mid2A#,hiG#,
クイーンオブハート,奏音69,巡音ルカ,mid1F,hiG,
クィホーティ,エイハブ,可不,mid2C,hiF,
空想庭園依存症,cosMo(暴走P),鏡音リン,mid1G#,hihiD,ラスサビで転調+1涙さえかれ【て】しまう【hihiD】ラスサビ最後hihiAロングトーン
空奏列車,Orangestar,IA,mid2D,hiG#,
九龍レトロ,トーマ,GUMI,mid2C,hihiC,
くたばれPTA,梨本P,初音ミク,mid1G,hiF,
グッバイ宣言,Chinozo,flower,mid2C,hihiC,
クラブ=マジェスティ,nyanyannya,鏡音レン,mid1C,hihiA#,
Crazy ∞ nighT,ひとしずく×やまP,初音ミク,mid2B,hihiC#,
Crazy ∞ nighT,ひとしずく×やまP,鏡音リン,mid2C,hihiC#,
Crazy ∞ nighT,ひとしずく×やまP,鏡音レン,mid2C,hihiC#,
Crazy ∞ nighT,ひとしずく×やまP,巡音ルカ,mid1G,hiC#,
Crazy ∞ nighT,ひとしずく×やまP,KAITO,lowG,mid2C#,
Crazy ∞ nighT,ひとしずく×やまP,MEIKO,mid2F,hiC#,
Crazy ∞ nighT,ひとしずく×やまP,GUMI,mid2C,hiC#,
Crazy ∞ nighT,ひとしずく×やまP,神威がくぽ,lowG,mid2C#,
黒猫,赤髪,GUMI,mid2D,hiE,
GETCHA!,Giga & KIRA,初音ミク,mid1G#,hiF,
GETCHA!,Giga & KIRA,GUMi,mid1G#,hihiA#,
ケッペキショウ,すこっぷ,GUMI,mid2D#,hiD#,
恋スルVOC@LOID,OSTER project,初音ミク,mid2C#,hihiC#,UGAにも入曲済。
恋空予報,電ポルP,GUMI,mid2C,hiD#,
恋は戦争,supercell,初音ミク,mid2A,hiD,サビでhiD連発
高音厨音域テスト,木村わいP,初音ミク,mid2A,hihihiE,10周年アカペラVer.は最高音hihihihiA
高音厨音域テスト(喉に優しい Ver.),木村わいP,初音ミク,mid2B,hiC,
幸福な死を,きくお,初音ミク,mid2C#,hihiC,
ゴーストルール,DECO*27,初音ミク,mid2A,hiF#,
コールボーイ,syudou,初音ミク,mid2D#,hiG#,
ココロ,トラボルタ,鏡音リン,mid2B,hiG,サビの最高音はhiC（かそ【く】する奇跡）
心倣し,蝶々P,GUMI,mid2A,hihiA,
古書屋敷殺人事件,てにをは,初音ミク,mid2A,hiD,
こちら、幸福安心委員会です。,うたたP,初音ミク,,,
孤独の宗教,syudou,初音ミク,hiB,hihiD,
Connecting,halyosy,初音ミク,mid2D,hiG,
Connecting,halyosy,巡音ルカ,mid2A,hiF#,
Connecting,halyosy,KAITO,mid1A#,mid2F#,
Connecting,halyosy,鏡音レン,mid2A#,hiF#,
Connecting,halyosy,鏡音リン,mid2D#,hiG,
Connecting,halyosy,MEIKO,mid2A#,hiF#,
コノハの世界事情,じん(自然の敵P),初音ミク,mid2D,hihiD,
コノハの世界事情,じん(自然の敵P),IA,mid2D,hihiD,
昏迷の味,savasti,flower,mid2C#,hiD#,
タイトル,アーティスト名,ボーカル,最低,最高,備考
Circles,KIRA,GUMI,mid2B,hihiA,
Surges,orangester,IA,mid1F,hihiA,
Surges,orangester,初音ミク,mid2C,hiD,
再会,はるまきごはん,初音ミク,mid1G#,hiG#,
再教育,Neru,鏡音リン,mid1F#,hiD#,
再教育,Neru,鏡音レン,mid2C,hiD#,
サイノウサンプラー,電ポルP,初音ミク,mid2C#,hiC#,
サイバーパンクデッドボーイ,マイキP,初音ミク,mid2A#,hihiE,
サイハテ,小林オニキス,初音ミク,mid2B,hiB,サビでhiB連発。
桜前線異常ナシ,ワタルP,初音ミク,mid2D#,hihiC,
桜ノ雨,halyosy,初音ミク,mid1F#,hiD,
さっさかサレンダー,メドミア,初音ミク,mid2B,hiG#,
THE DYING MESSAGE,鬱P,鏡音リン,mid2C#,hiD#,鏡音リンの曲。デスヴォイスは調査対象外。
サッドガール・セックス,DECO*27,初音ミク,mid2B,hiD#,
サディスティック・ラブ,Junky,鏡音リン,mid2A,hiE,
The Beast.,スペクタクルP,初音ミク,mid1E,hiD,
サマータイムレコード,じん(自然の敵P),IA,mid1E,hiF#,
Summering,じん,初音ミク,mid1F#,hiD#,
ザムザ,てにをは,初音ミク,mid1G,hiF,
小夜子,みきとP,初音ミク,mid2A#,hiC,
サラマンダー,DECO*27,初音ミク,mid2D,hiF,
サリシノハラ,みきとP,初音ミク,mid1F,hiC#,
サルでもわかる,アゴアニキ,鏡音リン,mid1G#,hiC#,鏡音リンの曲。サビ「【サ】 {ルで}もわかる息のし{かた}」【hiC#】{hiB}
懺悔参り,羽生まゐご,flower,mid2A,hihiB,
サンドリヨン,シグナルP,初音ミク,mid2A,hiG,
サンドリヨン,シグナルP,KAITO,mid1D,hiA,
ジェニ,¿?,flower,mid2F,hihiA#,
ジェヘナ,wotaku,初音ミク,mid1G,hiG#,
しかばねの踊り,きくお,初音ミク,mid2A#,hiF#,
シザーハンズ,Nem,初音ミク,mid2B,hiG,
シスターセクトルージュ,nyanyannya,巡音ルカ,mid1F,hihiA#,
CITRUS,Orangestar,IA,mid1F,hiG,
CITRUS,Orangestar,ONE,mid1F,hiG#,
シニカルナイトプラン,Ayase,初音ミク,mid1E,hiF#,
シネマ,Ayase,初音ミク,mid2A,hihiD#,
Just Be Friends,Dixie Flatline,巡音ルカ,mid2A,hiG,
終末じゃない,ぬゆり,flower,mid2D#,hiF,
終末じゃない,ぬゆり,心華,mid2D#,hiF,
少年ブレイヴ,じん(自然の敵P),IA,mid1D,hiD,
ジャックポットサッドガール,syudou,初音ミク,mid2B,hihiD,
Shadow Shadow,Azari,flower,mid2D#,hiF#,
紗痲,煮ル果実,flower,mid2F,hihiA#,
シャルル,バルーン,flower,mid2A#,hihiA#,
ジャンキーナイトタウンオーケストラ,すりぃ,鏡音レン,mid2D#,hihiA#,hihiA#はフェイク最高音で歌詞中ではhiGが最高音
シャンティ,wotaku,KAITO,mid1C#,mid2F#,
上海飴色光響曲,はんにゃG,初音ミク,mid2F,hihihiD,
十三番目の黙示録,ひとしずくP×やま△,鏡音リン,mid1G,hiG,
十三番目の黙示録,ひとしずくP×やま△,鏡音レン,mid1D,hiC,
従属ふりったー,電ポルP,初音ミク,mid2B,hiB(hiD#),ラスサビ前のフェイクでhiD出現。主旋律での最高音はhiB
十面相,YM,GUMI,mid2D,hihiD,
純情スカート,40mP,初音ミク,mid1G#,hiD#,
春嵐,john,初音ミク,mid2C,hihiD,
少女A,椎名もた,鏡音リン,mid2D#,hiF,
少女レイ,みきとP,初音ミク,mid2A,hiF,
ショウタイム・ルーラー,カラスヤサボウ,鏡音リン,mid2D,hiG,
少年少女カメレオンシンプトム,Neru,鏡音リン,mid2C#,hihiB,
シリョクケンサ,40mP,GUMI,mid1G#,hiD#,
ジレンマ,DECO*27,初音ミク,mid1G#,hihiA,
白い雪のプリンセスは,のぼる↑P,初音ミク,mid2B,hiE,最高音は転調後のサビ。転調前の最高音はhiD#。
深海シティアンダーグラウンド,田中Ｂ,鏡音リン,mid2A,hihiB,
SING&SMILE,Re:A&Re:nG,初音ミク,mid2B,hihiA#,ラスサビで転調。転調前の最高音はサビのhihiA。
ジンクス,RuLu,flower,mid1D#,hiD#,
ジンクス,RuLu,初音ミク,mid1D#,hiD#,
シング＝ライカマジク,nyanyannya,初音ミク,mid1A,hihiC,
シンクロサイクロトロン・スピリチュアライザー。,砂粒,GUMI,mid2C#,hiD#,
人生リセットボタン,kemu,GUMI,mid2A,hiE,
人造エネミー,じん(自然の敵P),初音ミク,mid1F#,hihiE,
しんでしまうとはなさけない！,じーざすP,鏡音リン,mid2C,hihiA,「もっとなさけなああああい！」でhihiA相当
しんでしまうとはなさけない！,じーざすP,鏡音レン,mid1F#,hihiA,
死んでしまったのだろうか,Guiano,flower,mid1G,hihiA,
シンデレラ,DECO*27,初音ミク,mid2F,hihiA#,
しんどいね。,マイキP,flower,mid1G,hihiB,
心拍数♯0822,蝶々P,初音ミク,mid2D#,hiE,
Sweet Devil,八王子P,初音ミク,mid2D,hiF,
スカシユリ,biz,flower,mid2C#,hiF#,
好きじゃない！,とまつなぎ*,可不,mid2A,hihiB,
スキスキ絶頂症,koyori/電ポルP,GUMI,mid2C#,hiD#,
好きな惣菜発表ドラゴン,ンバヂ,重音テト,mid2B,hiD,
好き！雪！本気マジック,Mitchie M,初音ミク,mid2D,hiE,
StargazeR,骨盤P,初音ミク,mid2E,hiF#,VOCALOID史上最遅ミリオン達成曲(5762日)最高音はラスサビで1回のみそれ以外ではhiEが最高音
Starwail～星墜ノ刻～,ドンガリンゴP,初音ミク,mid1G#,hihihiE,
SNOBBISM,Neru&z'5,鏡音リン,mid2F#,hihiA#,
SNOBBISM,Neru&z'5,鏡音レン,mid2E,hihiA#,
ズル,ポリスピカデリー,羽累,mid2A,hiC#,
ずれていく,wowaka,初音ミク,mid2F,hihiC,hihiCはラストのロングトーンのみ。1オクターブ上下する音程が非常に多い
スロウダウナー,ろくろ,初音ミク,mid2D#,hihiB,GUMIパートは終始ハモリ
スロウダウナー,ろくろ,GUMI,mid1D#,hiG,
聖槍爆裂ボーイ,"れるりり,もじゃ",鏡音レン,mid2A,hiD#,
生命線,テンツク,GUMI,mid1F#,mid2G#,
セカイ,DECO*27,初音ミク,mid2A,hiF,
セカイ再信仰特区,ろくろ,初音ミク,mid2A#,hihiA#,
星界ちゃんと可不ちゃんのおつかい合騒曲,南ノ南,星界,mid2A,hihiA#,
星界ちゃんと可不ちゃんのおつかい合騒曲,南ノ南,可不,mid2C,hihiA,
セカイはまだ始まってすらいない,ピノキオピー,初音ミク,mid2C,hiF,
世界を壊している,Neru,鏡音リン,mid2A,hihiA,
絶対敵対メチャキライヤー,メドミア,初音ミク,mid1G#,hiG,
絶対敵対メチャキライヤー,メドミア,可不,mid1G#,hiG,
SETSUNA,SHIKI,初音ミク,,hiG,全体的に高音域。hiB、hiCが頻出。
セツナトリップ,Last Note.,GUMI,mid1G#,hiG,
刹那プラス,みきとP,初音ミク,mid1G#,hiD#,
Celestial Symphony,ミニスカP,初音ミク,,hiF#,ラスサビで転調。転調前はhiF。
ゼロトーキング,はるまきごはん,初音ミク,mid1G#,hiF#,
潜水艦トロイメライ,トーマ,GUMI,mid2A,hihiA#,
センチメンタルな愛慕心,なつめ千秋,GUMI,mid2A,hiD,
1000年生きてる,いよわ,初音ミク,lowD#,hihiD#,
想像フォレスト,じん(自然の敵P),IA,mid1D#,hihiA#,
Soar,流星P,初音ミク,,hiF,ラスサビで転調。転調前はhiE。
それがあなたの幸せとしても,Heavenz,巡音ルカ,mid1G#,hiE,
ゾンビ,DECO*27,初音ミク,mid1G#,hiE,
ゾンビ・ディスコティーク,デスおはぎ,重音テト,mid2C#,hiE,
タイトル,アーティスト名,ボーカル,最低,最高,備考
ダーリンダンス,かいりきベア,初音ミク,mid2F#,hihiC,
ダイダイダイダイダイキライ,雨良,初音ミク,mid1F,hiG#,サビのヒーカップ部分を含めると最高音はhihiF
ダイダイダイダイダイキライ,雨良,重音テト,mid1F,hiG#,
Dear,19's Sound Factory,,mid2A,hihiA,JOYSOUNDに企画入曲。
脱獄,Neru,鏡音リン,mid2D#,hiG#,
ダブルラリアット,アゴアニキ,巡音ルカ,mid1D,hiE,サビでhiE連発「はん【け】［い］はちじゅ【う】［ごセ］ンチがこの［手］の届く距離」　【hiE】［hiD］
だれかの心臓になれたなら,ユリイ・カノン,GUMI,mid1G#,hihiC,
ダンスロボットダンス,ナユタン星人,初音ミク,hiA,hihiA,
CH4NGE,Giga,可不,mid1D#,hiF#,
地球最後の告白を,kemu,GUMI,mid1F,hiG,
チュルリラ・チュルリラ・ダッダッダ！,和田たけあき,結月ゆかり,mid2A,hiF#,
チルドレンレコード,じん(自然の敵P),IA,mid2B,hihiF#,ラスサビで転調キー+2。それまでの最高音はサビとCメロのhihiE
つきうさぎ,OSTER project,初音ミク,mid2A#,hiG,hiGはCメロで2回。ラスサビで転調。ラストは18秒にも及ぶ超ロングトーン。
月歌,あわあわp,初音ミク,mid2D,hihiA,サビでhiG以上連発。ラストにhihiAのロングトーン。
帝国少女,R Sound Design,初音ミク,mid2B,hiE,
泥中に咲く,HarryP,初音ミク,mid2A#,hiF,
テオ,Omoi,初音ミク,mid2D#,hihiA,
デッドアンドシーク,じん(自然の敵P),IA,mid1E,hiF#,
テノヒラ,wowaka,初音ミク,,hihiC,
低音厨音域テスト,木村わいP,初音ミク,lowlowlowE,hiC,
Tell Your World,kz,初音ミク,mid2A#,hiG,2番サビ終わりのFakeでhiG#～hihiCまで出現
テレパシ,DECO*27,初音ミク,mid1G,hiD,
テロル,Neru,鏡音リン,mid2B,hihiA,
天樂,ゆうゆP,鏡音リン,mid2A,hihiA,
天才ロック,カラスヤスボウ,鏡音リン,mid1D,hiC,
どういうことなの！？,くちばしP,初音ミク,mid2A#,hiG#,サビでhiG#連発。
東京テディベア,neru,鏡音リン,mid2D,hihiA#,
トウキョウト・ロック・シティ,えのまるはいのことん,初音ミク,mid2B,hiC#,
透明アンサー,じん(自然の敵P),IA,mid1F#,hihiB,
とおせんぼ,wowaka,初音ミク,mid2C,hihiC,hihiCはすべてロングトーン。それ以外ではhiG#が最高。
ド屑,なきそ,歌愛ユキ,mid1F#,hiF,
ドクター＝ファンクビート,nyanyannya,KAITO,mid1D,hiD#,
Dreaming Leaf-ユメミルコトノハ-,OSTER project,初音ミク,mid2C#,hiF#,
永久に続く五線譜,デッドボールP,初音ミク,mid2D,hiG,転調前の最高音は、サビ前、サビ、Bメロで登場するhiE。転調後キー3個上がり。
タイトル,アーティスト名,ボーカル,最低,最高,備考
内臓ありますか,ピノキオピー,初音ミク,mid2C,hihiA,
ナンセンス文学,Eve,初音ミク,mid2B,hihiB,
ニア,夏代孝明,初音ミク,mid1C#,hiC#,
熱異常,いよわ,足立レイ,mid1G#,hihiG#,
ネトゲ廃人シュプレヒコール,さつきがてんこもり,初音ミク,mid2A,hiC,
ネロイズム,かいりきベア,鳴花ミコト,mid1G#,hiG#,
ノンブレス・オブリージュ,ピノキオピー,初音ミク,mid2A,hihiC,
タイトル,アーティスト名,ボーカル,最低,最高,備考
Perfect Crime,samfree,巡音ルカ,mid2C#,hiF,
Perfect Crime,samfree,鏡音レン,mid2C#,hiD#,
パーフェクト生命,ナユタン星人,初音ミク,mid2C,hiG#,
廃墟の国のアリス,まふまふ,初音ミク,mid1F#,hihiA,
拝啓ドッペルゲンガー,kemu,GUMI,mid2A,hiF#,
バイビーベイビーサヨウナラ,saiB,初音ミク,mid2C,hihiC#,
敗北の少年,kemu,GUMI,mid1F,hiC,
ハウトゥー世界征服,Neru,鏡音リン,mid2B,hihiB,
