タイトル,アーティスト名,ボーカル,最低,最高,備考
被害妄想携帯女子(笑),ギガ,GUMI,lowF,hiF,lowFはイントロやサビ前部分それを除くと裁定音はmid1G#
卑怯戦隊うろたんだー！,シンP,KAITO,mid1D,mid2E,KAITO、MEIKO、初音ミクの曲。KAITOの高音部はmid2E。
卑怯戦隊うろたんだー！,シンP,MEIKO,,mid2F
卑怯戦隊うろたんだー！,シンP,初音ミク,,mid2F
ビターチョコデコレーション,syudou,初音ミク,mid2D,hiG,
ひとひらの,のりP,初音ミク,,hihiA,最高音はCメロで連発。それ以外ではhiEが最高。
人マニア,原口沙輔,重音テト,mid2D#,hiD#,
独りんぼエンヴィー,koyori(電ポルP),初音ミク,mid2B,hiD#,
ヒバナ,DECO*27,初音ミク,mid2B,hiD,
ビバハピ,Mithie M,初音ミク,,,
秘蜜～黒の誓い～,ひとしずくP,鏡音リン,mid1G,hiD#,
秘蜜～黒の誓い～,ひとしずくP,鏡音レン,mid1G,hiC
秘密警察,ぶりるP,初音ミク,mid2C#,hihiC#,
百鬼祭,Kanaria,初音ミク,mid2A,hihiA,
病名恋ワズライ,HoneyWorks,GUMI,mid2A,hiF#,
病名は愛だった,Neru&z'5,鏡音リン,mid2D,hihiD,
病名は愛だった,Neru&z'5,鏡音レン,mid2B,hihiD
Beyond the Way,ギガ,初音ミク,mid1F,hiG#(hihiG#),「uh 悟られそう」部分を含めるとミクパートの最低音はlowF。ラスサビにてミクコーラスのhihiC～hihiG#出現
Beyond the Way,ギガ,鏡音リン,mid1F,hiG#
Beyond the Way,ギガ,鏡音レン,mid1C,hiG
bin,猫アレルギー,音街ウナ,mid2D,hiG,
ぶちぬけ！２００８！,doriko,初音ミク,mid1G,hiF,
Fire◎Flower,halyosy,鏡音レン,mid1D,hiC,
フィクサー,ぬゆり,flower,mid2F#,hihiC#,
Booo!,TOKOTOKO（西沢さんP）,音街ウナ,mid2C,hiD#,
FortuneDiver,シンP,MEIKO,mid2B,hiD#,MEIKO、鏡音レン、初音ミクの曲
FortuneDiver,シンP,鏡音レン,mid2B,hiD#
FortuneDiver,シンP,初音ミク,mid2B,hiD#
フォニイ,ツミキ,可不,mid2A,hiG#,
福音,wotaku,初音ミク,mid2A,hiF,
福寿草,ぐにょ,初音ミク,mid2A#,hiD#,
フタリボシ,40mP,初音ミク,mid1F#,hiC#,
フタリボシ,40mP,GUMI,mid1F#,hiB
from Y to Y,ジミーサムP,初音ミク,mid1F#,hiF#,最高音はCメロ。ラスサビで転調キー+1。
フラジール,ぬゆり,flower,mid2D#,hihiA#,
Blackjack,ゆちゃ,巡音ルカ,mid1G,hiA#,巡音ルカの曲。
ブラック★ロックシューター,supercell,初音ミク,mid1G#,hiD#,hiD#はサビに。mid1G#はAメロ。
ブリキノダンス,日向電工,初音ミク,mid2G,hihiC,
Blessing,halyosy,初音ミク,mid2D,hiF#,
Blessing,halyosy,巡音ルカ,mid2D,hiF#
Blessing,halyosy,KAITO,mid1D,hiE
Blessing,halyosy,鏡音レン,mid2D,hiF
Blessing,halyosy,鏡音リン,mid1G,hiE
Blessing,halyosy,MEIKO,mid2D,hiF#
フロイライン=ビブリォチカ,nyanyannya!,MEIKO,mid1B,hihiC#,
flos,R Sound Design,初音ミク,mid1G#,hiF#,
プロトディスコ,ぬゆり,flower,mid2D,hihiA#,アウトロでhihiD#のフェイク出現
プロポーズ,内緒のピアス,可不,mid2D#,hihiA,
フロムトーキョー,"夏代孝明,渡辺拓也",初音ミク,mid2C,hihiA,
Paintër,halyosy,初音ミク,mid2C,hiF#,
Paintër,halyosy,鏡音リン,mid2C,hiF#
Paintër,halyosy,鏡音レン,mid2D,hiC#
Paintër,halyosy,巡音ルカ,mid2C,hiF
Paintër,halyosy,KAITO,mid1D,hiA#
Paintër,halyosy,MEIKO,mid2F,hiF#
ヘッドフォンアクター,じん(自然の敵)P,IA,mid2A,hihiB,最高音も最低音も頻出。
ヘドニストの幸福な食卓,TaKU.K,GUMI,mid2E,hihiA#,
ベノム,かいりきベア,flower,mid2C#,hiG#,
ベベル,shr,鏡音リン,mid2D#,hiE,
偏食,香椎モイミ,初音ミク,mid2A#,hiA#,
Henceforth,Orangestar,IA,mid1F#,hihiA#,
放課後ストライド,Last Note.,GUMI,mid2B,hiE,
ぼうけんのしょがきえました！,じーざすP,鏡音リン,mid2A,hihiE,
ぼうけんのしょがきえました！,じーざすP,鏡音レン,mid1G,hiG
方向音痴,アゴアニキ,初音ミク,mid2C#,hiB,「{あなたとす}【ご】{し}たこの{ま}(ち)が」　{hiA}【hiB】(mid2C#)
鳳仙花,黒澤まどか,初音ミク,mid1G#,hiE,
ポーカーフェイス,ゆちゃP,GUMI,mid2B,hiD,
僕らの記憶を掠わないで,rinri,鳴花ヒメ,mid2G,hihiA,
僕らの記憶を掠わないで,rinri,鳴花ミコト,mid1D,hihiD
ホシアイ,レフティーモンスターP,GUMI,mid1E,hiF,
ポジティブ☆ダンスタイム,キノシタ,音街ウナ,mid2C#,hiG#,
ボッカデラベリタ,柊キライ,flower,mid1G#,hiG#,
ボッカデラベリタ,柊キライ,鏡音リン,mid2B,hiG#
ポッピンキャンディ☆フィーバー！,キノシタ,音街ウナ,mid2C#,hihiA,
ポッピンキャンディ☆フィーバー！,キノシタ,鏡音リン,mid2C#,hiE
potatoになっていく,Neru,鏡音リン,mid2A,hiF,
potatoになっていく,Neru,鏡音レン,mid1D#,mid2G#
ホロン,wotaku,初音ミク,mid2C#,hihiA#,
ホワイトリリー,ケイエヌ,闇音レンリ,mid1F,hiG,
